Student ID,Name,Registered Exams
34,Michael Zimmerman,Compiler Design;Java Programming;IOT;DSA;Programming Paradigms;Fundamentals EEE
35,Robert Collins,Fundamentals EEE;Data Visualization;Compiler Design;Microprocessors;Programming Paradigms
36,Don Doyle,Programming Paradigms;Java Programming;OOPS;Computer Networks
37,Richard Gibson,DSA;Advanced C;Blockchain Technologies;Fundamentals EEE;IOT;OS;Computer Networks
38,Charles Morris,Microprocessors;DBMS
39,Patricia Martinez,Computer Networks;DSA;Compiler Design;Cloud Computing;OOPS;Java Programming;Data Visualization
40,Jeffrey Macias,Computer Networks
41,Robert Sharp,Data Visualization;OOPS;Blockchain Technologies;Cloud Computing;Fundamentals EEE;Microprocessors;DBMS
42,Sean Moore,Data Visualization;Programming Paradigms;DBMS;Java Programming;DSA
43,Sylvia Rogers,Cloud Computing
44,Joseph Martin,Computer Networks;Discrete Maths
45,Edward Garza,Cloud Computing
46,Terry Davis,Microprocessors
47,Troy Clay,Microprocessors;Advanced C;Computer Networks;OOPS;Data Visualization;Programming Paradigms;Discrete Maths
48,Jasmine Gonzales,Programming Paradigms
49,Nancy Haynes,Compiler Design;Java Programming;Cloud Computing;Programming Paradigms;Computer Networks;Fundamentals EEE;DBMS
50,Breanna Barker,DBMS;Advanced C;IOT;Compiler Design;Blockchain Technologies;Microprocessors
51,William Martinez,Discrete Maths;DSA;Data Visualization;Blockchain Technologies;OS;Computer Networks
52,Ronald Holmes,Compiler Design;Advanced C;Discrete Maths;Java Programming;Data Visualization;IOT
53,Latasha Larson,Data Visualization;Blockchain Technologies;Programming Paradigms;IOT;Computer Networks;DSA
54,Nathan Jackson,Fundamentals EEE;OOPS;DBMS;Data Visualization
55,Donna Russell,Discrete Maths;Microprocessors;Computer Networks
56,Lisa Rice,OOPS;Compiler Design;Computer Networks;Microprocessors;Discrete Maths
57,Amy Morton,Programming Paradigms
58,Cynthia Soto,OOPS;IOT;Data Visualization;Advanced C
59,Joseph Jones,Blockchain Technologies;Advanced C;Cloud Computing;Compiler Design;Data Visualization;Discrete Maths;Java Programming
60,Matthew Vega,DBMS;Computer Networks;Microprocessors
61,Mark Spencer,Microprocessors;Data Visualization;OS;Discrete Maths;Compiler Design;OOPS
62,Brent Snow,DSA;Java Programming
63,Becky Jones,DSA
64,Kristina Harris,Blockchain Technologies;DBMS;IOT;Microprocessors
65,Paul Elliott,Blockchain Technologies;Compiler Design;Microprocessors
66,Tony Jackson,Java Programming;Discrete Maths;Blockchain Technologies
67,Leslie Schmitt,Discrete Maths;Cloud Computing;OS
68,Ellen Cameron,Fundamentals EEE;OOPS
69,Patricia Ruiz,OOPS
70,Albert Barrera,Data Visualization;OS;Compiler Design
71,Kimberly Brown,DSA;Programming Paradigms
72,Jerry Maxwell,Advanced C;Java Programming;DSA;OOPS
73,Sarah Fisher,Programming Paradigms;OOPS
74,James Barnett,DSA;Microprocessors;OOPS;IOT
75,Omar Anderson,Discrete Maths;Blockchain Technologies;DBMS;Computer Networks;Microprocessors;OOPS
76,Danny Yu,IOT;OOPS;Programming Paradigms;Fundamentals EEE;Data Visualization;Microprocessors
77,Sarah Harvey,OOPS;Fundamentals EEE;IOT
78,Darren Miller,Advanced C
79,Theresa Clark,Discrete Maths;Data Visualization
80,Angela Briggs,Java Programming;Computer Networks;DBMS;Blockchain Technologies;Cloud Computing
81,Mark Browning,OOPS;Microprocessors;Discrete Maths
82,Jennifer Huerta,OOPS;Cloud Computing;Fundamentals EEE;DBMS;OS;Blockchain Technologies;IOT
83,Christian Mercer,Discrete Maths;Java Programming;Blockchain Technologies;DSA;Programming Paradigms;Cloud Computing
84,Marie Walton,DSA
85,Nathaniel Perkins,DBMS;Blockchain Technologies;Discrete Maths;Data Visualization
86,Tyler Smith,OOPS;DSA;Advanced C;DBMS;Discrete Maths;Data Visualization;Computer Networks
87,Taylor Little,IOT
88,Thomas Patel,Cloud Computing
89,Vanessa Martinez,DSA;Computer Networks;OOPS;Programming Paradigms;Blockchain Technologies;Java Programming;Discrete Maths
90,Derek Johnson,Java Programming;Data Visualization
91,Holly Anderson,Advanced C;Computer Networks;OS;Cloud Computing;Data Visualization;Compiler Design
92,David Gallegos,Fundamentals EEE;DBMS;Java Programming;Programming Paradigms;IOT;DSA
93,Brian Dickerson,DBMS;OOPS;Cloud Computing
94,Robert Robinson,OOPS;Computer Networks;Compiler Design;Cloud Computing;Programming Paradigms
95,Dr. Bryce Nelson,Computer Networks
96,Christopher Mcneil,IOT;Advanced C;Fundamentals EEE;Microprocessors
97,Marcus Sutton,OOPS
98,Holly Lee,Data Visualization;Compiler Design;Java Programming;IOT;Blockchain Technologies;OS;Discrete Maths
99,Jared Brown,DBMS;Cloud Computing;Blockchain Technologies;Java Programming;Microprocessors;Programming Paradigms
100,Joshua Poole,Blockchain Technologies;Programming Paradigms;IOT;Data Visualization;Compiler Design;Advanced C;Computer Networks
101,Kevin Walker,Compiler Design;Data Visualization;Computer Networks
102,Danielle Fox,Advanced C;Discrete Maths;OOPS;Java Programming;Computer Networks;IOT;Microprocessors
103,Tammy Garcia,Microprocessors;Blockchain Technologies;IOT
104,Robert Rogers,DSA;Microprocessors;IOT;Computer Networks;Java Programming;DBMS;OS
105,Christopher Kelly,Fundamentals EEE
106,Maureen Farmer,Java Programming;Computer Networks;Data Visualization;Compiler Design;Advanced C;Microprocessors
107,Daniel Lopez,OS;Computer Networks;Discrete Maths;Programming Paradigms;Blockchain Technologies;Java Programming;Cloud Computing
108,Andrea Scott,Compiler Design;Fundamentals EEE;Computer Networks;IOT;Java Programming
109,Anthony Vaughan,Discrete Maths;Compiler Design;IOT
110,Cody Ashley,IOT;DBMS;Computer Networks;Blockchain Technologies;Cloud Computing;Advanced C
111,Erica Christian,Fundamentals EEE;Cloud Computing;Compiler Design;Programming Paradigms;OOPS
112,Robin Cowan,Cloud Computing;Fundamentals EEE;Computer Networks;DBMS;IOT;Java Programming;Programming Paradigms
113,Nicole Williams,Computer Networks;Data Visualization;Discrete Maths;Fundamentals EEE;Compiler Design;Blockchain Technologies
114,Brandy Bryant,Programming Paradigms;Discrete Maths;OS;DSA;Computer Networks
115,Julie Solis,Advanced C
116,Nicholas Ford,Data Visualization;Cloud Computing;DSA;Compiler Design;OS
117,Christopher George,OS
118,Jocelyn Travis,Microprocessors;Computer Networks;Blockchain Technologies
119,Jeffery Turner,Computer Networks
120,Patricia Rollins,Discrete Maths;Blockchain Technologies;Compiler Design
121,Matthew Willis,IOT;Advanced C;OOPS;Compiler Design;Computer Networks;DSA
122,Kendra Leon,Programming Paradigms;DBMS;Advanced C;Discrete Maths;Java Programming;Data Visualization
123,Abigail Aguilar,Data Visualization;Microprocessors
124,Kristen Hill,Programming Paradigms;Discrete Maths;OS;DBMS;OOPS;Advanced C;DSA
125,Jessica Miles,Programming Paradigms;Advanced C;OS;Blockchain Technologies;Compiler Design;Discrete Maths;Cloud Computing
126,Mariah Bentley,DSA
127,Michelle Huber,OS;Data Visualization;Advanced C;Fundamentals EEE;DBMS;Discrete Maths
128,Lisa Walton,OS;Fundamentals EEE;Programming Paradigms;Data Visualization;DSA
129,Kevin Peterson,Java Programming;Blockchain Technologies;Programming Paradigms;DSA;Computer Networks
130,Jim Nguyen,Fundamentals EEE;Cloud Computing
131,John Jones,Cloud Computing;Computer Networks;Advanced C;Compiler Design;Data Visualization;OOPS;Blockchain Technologies
132,Gina Salinas,Advanced C;Blockchain Technologies;Data Visualization;Programming Paradigms;Computer Networks;DBMS;Discrete Maths
133,Melissa Green,Java Programming;IOT;OS;Discrete Maths;DBMS
134,Robin Rogers,Fundamentals EEE;Programming Paradigms
135,Jennifer Glenn,OOPS;Blockchain Technologies;Programming Paradigms;Compiler Design
136,Rebecca Daniels,OOPS;DSA;DBMS;OS;Computer Networks
137,David Martinez,IOT;DBMS
138,Brandon Jackson,IOT;DSA;DBMS;OS;Cloud Computing;Microprocessors;Data Visualization
139,Gregory Lloyd,IOT;OOPS;OS;Computer Networks;Advanced C
140,Brandon Burgess,Compiler Design;Data Visualization
141,Daniel Martin,Programming Paradigms;Cloud Computing;OOPS;Java Programming
142,Heidi Quinn,OOPS;Java Programming;Discrete Maths;Cloud Computing;Blockchain Technologies;Computer Networks;Programming Paradigms
143,Debra Holmes,OOPS;OS;Fundamentals EEE;DSA;Microprocessors;Cloud Computing;Blockchain Technologies
144,Diane Potter,OOPS;Java Programming;Programming Paradigms;Cloud Computing;Compiler Design
145,Lisa Li,OOPS
146,Lisa Johnson,Discrete Maths;Microprocessors;Compiler Design;Programming Paradigms;DBMS;OOPS
147,Michelle Smith,Blockchain Technologies;IOT;DBMS;OOPS
148,Robert Jacobs,DBMS;Programming Paradigms;Cloud Computing;DSA;Fundamentals EEE;Microprocessors
149,Elizabeth Mcgrath,Programming Paradigms;Compiler Design;DSA
150,Seth Jackson,Microprocessors;DBMS;Java Programming;Blockchain Technologies
151,Emma Garner,Blockchain Technologies;OS
152,Sherry Larson,Computer Networks;Data Visualization;Fundamentals EEE;OOPS;OS
153,Lori Macias,Discrete Maths;Microprocessors;Advanced C
154,Dawn Moody,Fundamentals EEE;Blockchain Technologies
155,Joshua Evans,Cloud Computing
156,Courtney Flores,Data Visualization;OOPS;DBMS
157,Patrick Pierce,Blockchain Technologies
158,Kimberly Wagner DDS,Microprocessors;OOPS;Java Programming
159,Melissa Garcia,Blockchain Technologies;OOPS;Advanced C;Compiler Design;DSA
160,Brian Perez,Advanced C;DSA;Java Programming;IOT;Discrete Maths
161,Robert Bradshaw,Microprocessors
162,Heather Kramer,Advanced C;Microprocessors;OS;OOPS;Java Programming
163,Ashley Rodriguez,Cloud Computing;Computer Networks;Fundamentals EEE;IOT;DBMS
164,Tiffany Goodwin,Data Visualization;Compiler Design;OS;Cloud Computing
165,Richard Hancock,DSA;Fundamentals EEE;OS;Data Visualization;Cloud Computing;Java Programming
166,Patrick Frey,Fundamentals EEE;Advanced C;OOPS;Java Programming
167,Jessica Barron,Discrete Maths;Compiler Design;Blockchain Technologies;Advanced C
168,Debra Wheeler,Microprocessors
169,Gary Baker,OOPS;Advanced C
170,Justin Gutierrez,OS;Fundamentals EEE;Microprocessors;Java Programming;Programming Paradigms;Advanced C
171,Roger Henry,DBMS;Java Programming;DSA;Blockchain Technologies
172,Regina Jordan,Blockchain Technologies;Discrete Maths;OS;Microprocessors;Compiler Design
173,Laurie Charles,Computer Networks;Programming Paradigms
174,James Brooks,Microprocessors;OOPS;IOT
175,Gary Anderson,IOT;Blockchain Technologies;DBMS;Fundamentals EEE;Computer Networks
176,Theresa Frazier,Computer Networks
177,Zachary Moore,OOPS;Advanced C;Fundamentals EEE;DSA;Blockchain Technologies;OS;Discrete Maths
178,Victoria Reese,Computer Networks;Advanced C;Cloud Computing;Blockchain Technologies;Data Visualization;DSA;Microprocessors
179,Jenna Taylor,OOPS
180,Sherri Harris,Programming Paradigms;Computer Networks;Advanced C;Cloud Computing;Compiler Design;DBMS
181,Sean Lee,Java Programming;OS;Discrete Maths;Microprocessors
182,Brian Sims,Compiler Design;Discrete Maths;Advanced C;Data Visualization;Computer Networks;Blockchain Technologies
183,John Thompson,DSA;DBMS
184,Joshua Cook,Cloud Computing;Blockchain Technologies;IOT
185,Karen Green,Advanced C;Programming Paradigms
186,Joseph Key,Fundamentals EEE;Advanced C;DBMS;Computer Networks;Discrete Maths;Compiler Design;OOPS
187,Jennifer Young,OOPS;Microprocessors;Fundamentals EEE
188,Miranda Ferguson,Java Programming;DBMS;Compiler Design;Discrete Maths;OOPS;Fundamentals EEE;Data Visualization
189,Rebecca Cook,Programming Paradigms
190,Kathleen Robinson,Blockchain Technologies;Cloud Computing;IOT;OS
191,Ricardo Sanders,Java Programming;OOPS
192,Kenneth Roach,Computer Networks;Programming Paradigms;OS;Blockchain Technologies;Advanced C;OOPS
193,Brittany White,OOPS;Microprocessors
194,Jeanette Gonzales,Programming Paradigms;OS;Computer Networks;IOT;Fundamentals EEE
195,Taylor Romero,Fundamentals EEE;Cloud Computing;DSA;OS;Compiler Design
196,Jeffrey Lewis,DBMS;Compiler Design;Programming Paradigms;IOT
197,Samantha Rowe,Cloud Computing;Java Programming
198,Wendy Stevens,Microprocessors;Fundamentals EEE;Computer Networks;Cloud Computing
199,Nicole Graves,Fundamentals EEE;OS;DBMS;Compiler Design;OOPS;Advanced C
200,Christine Bolton,OOPS;Fundamentals EEE;DSA;OS
201,Tammy Snow,Data Visualization;Microprocessors;Programming Paradigms;Cloud Computing;DBMS;OS;OOPS
202,Madison Ibarra,Java Programming;Blockchain Technologies;IOT;Discrete Maths;Fundamentals EEE;OS
203,Matthew Alexander,DBMS;Cloud Computing;Computer Networks;Programming Paradigms;Data Visualization
204,Aaron Grant,Computer Networks;OOPS;Microprocessors;Programming Paradigms
205,William Hall,Cloud Computing;OOPS
206,Christine Barker,OOPS;Advanced C;Data Visualization;Fundamentals EEE;Programming Paradigms
207,Lonnie Cole,Blockchain Technologies;Advanced C;DBMS;Fundamentals EEE;DSA;IOT;Discrete Maths
208,Chris Poole,Data Visualization;Java Programming;DSA;IOT;OS;Advanced C
209,Krystal Warren,IOT;OOPS;Fundamentals EEE;Java Programming;DBMS
210,Jeffrey Holloway,Java Programming;Computer Networks;IOT;OOPS;DSA;Microprocessors;Programming Paradigms
211,Cathy Holland,Cloud Computing;Advanced C
212,Michael Moran,Fundamentals EEE;Computer Networks;Programming Paradigms;Blockchain Technologies;DBMS;Data Visualization;OS
213,John Hall,Blockchain Technologies;Java Programming;Discrete Maths;Advanced C;Data Visualization
214,Lori Johnson,OOPS;OS;Advanced C;Fundamentals EEE;DSA;Discrete Maths
215,Kari Salinas,Fundamentals EEE;IOT;Data Visualization;Cloud Computing;Compiler Design
216,Joanna Gardner,Java Programming;IOT;Programming Paradigms
217,Brittany Huff,DSA;OS;Blockchain Technologies;Microprocessors;Cloud Computing
218,Mrs. Kaitlyn Cook,Data Visualization;Computer Networks;Advanced C;Compiler Design;DBMS;Discrete Maths
219,Ronald Herrera,Blockchain Technologies
220,Joanna Mitchell,OOPS;Data Visualization;Microprocessors;Advanced C;Fundamentals EEE;OS;DSA
221,Michael Sutton,OS;Programming Paradigms;Discrete Maths;Cloud Computing;Java Programming
222,Patrick Watkins,Blockchain Technologies;OS;Fundamentals EEE;Computer Networks;Data Visualization
223,James Beard,Microprocessors;Discrete Maths;Fundamentals EEE;Compiler Design
224,Terry Contreras,Discrete Maths;Cloud Computing;Fundamentals EEE;OOPS;Microprocessors;Computer Networks
225,Dustin Martin,Discrete Maths;DBMS;Cloud Computing;IOT;Compiler Design
226,Brittany Parks,Discrete Maths;DSA;Computer Networks;IOT;Cloud Computing;Java Programming
227,Isaiah Brady,Microprocessors
228,Maria Snyder,OOPS;Microprocessors;Cloud Computing
229,Timothy Johnson,Programming Paradigms;DSA;Java Programming;Microprocessors
230,Lori Hess,Fundamentals EEE;Programming Paradigms;DSA;Computer Networks;OOPS;Advanced C;Microprocessors
231,Michael Watson,Computer Networks;IOT;DSA;Cloud Computing;OOPS;OS;Compiler Design
232,William Smith,Compiler Design;Cloud Computing;Java Programming;Data Visualization
233,Catherine Gomez,OS;Blockchain Technologies;Compiler Design;Microprocessors
234,Victor Collins,Java Programming;Compiler Design;Microprocessors;DBMS;OOPS;OS;Computer Networks
235,Dylan Strickland,IOT;Programming Paradigms;OOPS
236,Kenneth Grant,Cloud Computing
237,Sara Martinez,Compiler Design;Microprocessors
238,Benjamin Hernandez,Discrete Maths;Data Visualization;IOT;DBMS
239,Gerald Wright,Cloud Computing
240,Annette Nielsen,Fundamentals EEE;Data Visualization;IOT
241,Kristin Gould,DSA;OOPS;Compiler Design;OS;Computer Networks;IOT;DBMS
242,Jacob Spence,Java Programming;IOT
243,Brittany Mahoney,IOT;Programming Paradigms;Microprocessors;OOPS;Compiler Design;Data Visualization
244,Tiffany Gonzales,Advanced C;Cloud Computing
245,Ryan Burch,Java Programming;Computer Networks;Data Visualization
246,Mr. Michael Ford,OS;Microprocessors;Blockchain Technologies;Cloud Computing
247,Michelle Johnson,Computer Networks;Blockchain Technologies;OS
248,David Gonzalez,Java Programming;Computer Networks
249,Mary Sexton,Computer Networks;Data Visualization;IOT;OOPS
250,Olivia Lewis,Programming Paradigms
251,Gary Hill,Fundamentals EEE;Microprocessors;OS;Compiler Design;Cloud Computing
252,Carl Thompson,Compiler Design;DSA;Data Visualization
253,Lisa Stevenson,Cloud Computing;Microprocessors;Java Programming;Data Visualization;IOT
254,Luis Berry,Advanced C;Discrete Maths;Fundamentals EEE
255,Kimberly Garcia,Data Visualization;Fundamentals EEE
256,Joshua Mccall,OS
257,Bobby Palmer,Computer Networks;Advanced C;Compiler Design;OOPS;Cloud Computing;Discrete Maths
258,Jenna Jordan,OS;Computer Networks;Microprocessors;Programming Paradigms;DBMS
259,Laura Bridges,Blockchain Technologies;Compiler Design;Fundamentals EEE;Microprocessors;Advanced C;Discrete Maths
260,Kristopher Huang,Java Programming
261,Sarah Baker,Data Visualization;Java Programming;Microprocessors;Compiler Design;IOT;OS;Fundamentals EEE
262,James Dennis,Compiler Design;IOT;DSA;Blockchain Technologies;Programming Paradigms;OOPS;Discrete Maths
263,Lindsay Donaldson,DBMS;Blockchain Technologies;Data Visualization;Microprocessors;Cloud Computing;IOT
264,Eric Kelly,Discrete Maths;Programming Paradigms;Java Programming;OS;Fundamentals EEE;IOT;Cloud Computing
265,Samantha Neal MD,DSA
266,Andrew Taylor,Discrete Maths;Microprocessors
267,Dylan King,Advanced C
268,Dr. Christopher Wright,Microprocessors;DSA;OOPS
269,Brian Johnson,Microprocessors;Advanced C;OOPS;DBMS;Computer Networks
270,Rebecca Wright,Programming Paradigms;Fundamentals EEE;Advanced C;Computer Networks;IOT;DSA;Microprocessors
271,Keith Flores,Blockchain Technologies;Microprocessors;Computer Networks;Java Programming;Discrete Maths
272,Emily Hughes,Programming Paradigms;DSA
273,Ryan Allen,IOT;Java Programming;Fundamentals EEE;Compiler Design
274,Bryan Sandoval,Discrete Maths
275,Joseph Perkins,Discrete Maths;Data Visualization
276,Patrick Campbell,OS
277,Nicole Winters,Compiler Design;Java Programming;DBMS;Cloud Computing;IOT
278,Jose Davis,Discrete Maths;DBMS;Data Visualization;Compiler Design;OS;Advanced C
279,Stephanie Smith,DSA;Blockchain Technologies;Advanced C;Data Visualization;Fundamentals EEE;Programming Paradigms
280,Brandi Walls,Advanced C;DBMS;Cloud Computing;IOT;OOPS;Blockchain Technologies;Computer Networks
281,Joseph Burton,Cloud Computing;DBMS;Discrete Maths
282,Kimberly Hernandez,DSA;IOT;DBMS
283,Morgan Montgomery,Microprocessors;Java Programming
284,Manuel Williams,Discrete Maths;Computer Networks;Microprocessors;Advanced C;Cloud Computing;Blockchain Technologies;Fundamentals EEE
285,Melissa Lozano,IOT;Java Programming;Cloud Computing;Advanced C
286,Stephanie Lee,Programming Paradigms;Java Programming
287,Rachel Stuart,Advanced C;IOT;Fundamentals EEE;Cloud Computing;Computer Networks;Java Programming;OS
288,Kristen Stafford,OOPS;Data Visualization;Microprocessors;Compiler Design;Discrete Maths
289,Stephanie Weber,Compiler Design;Discrete Maths;DSA
290,Vanessa Jacobs,Advanced C;Computer Networks;Programming Paradigms;OOPS;Discrete Maths;IOT
291,Cynthia Cole,DSA
292,Zachary Hernandez,OOPS;DBMS
293,Mary Garcia,Cloud Computing;Data Visualization;DSA;Discrete Maths
294,Mary Vargas,Blockchain Technologies;Microprocessors;DBMS;Java Programming;Fundamentals EEE;Compiler Design;Cloud Computing
295,Elizabeth Weaver,DBMS;Advanced C;OOPS;Java Programming;Microprocessors
296,Jennifer Gonzalez,DBMS;Programming Paradigms
297,Linda Johnson,Advanced C;OOPS;Cloud Computing;DSA;Compiler Design;Blockchain Technologies
298,Ryan Mcdonald,Data Visualization;Computer Networks
299,Lauren Gonzalez,Advanced C
300,Steven Nelson,Computer Networks;OOPS;Data Visualization;DBMS;Microprocessors;Advanced C
301,Donna Kim,Cloud Computing;IOT;Java Programming;Blockchain Technologies
302,Stephanie Barber,Advanced C;OOPS;Blockchain Technologies;Programming Paradigms;Microprocessors;Java Programming;DBMS
303,Michele Palmer,OS;Discrete Maths;Cloud Computing
304,Rebecca Williams,Java Programming;DBMS
305,Christopher Abbott,Microprocessors;OOPS;Data Visualization;Blockchain Technologies;Advanced C
306,Lori Harris,Blockchain Technologies;Advanced C;OS;Fundamentals EEE;Microprocessors;Discrete Maths;DBMS
307,Christopher Brown,Data Visualization;OS;Computer Networks;DSA
308,Justin Roach,Discrete Maths;OS;Fundamentals EEE;OOPS;Programming Paradigms
309,Tanya Patel DVM,OS;DSA;Microprocessors;Compiler Design
310,Mr. Brian Williams,Java Programming;Blockchain Technologies;Computer Networks;DBMS;Cloud Computing
311,Ricardo Lee,Blockchain Technologies;Advanced C;IOT;OOPS;Fundamentals EEE;Cloud Computing;Java Programming
312,Tammy Little,Compiler Design;Blockchain Technologies;Cloud Computing;OS;Microprocessors;Discrete Maths
313,Erica Watson,Advanced C;Cloud Computing;DSA;Microprocessors;Computer Networks;Discrete Maths;Compiler Design
314,Douglas Morris,OS
315,Valerie Cochran,IOT;Data Visualization
316,Connie Carpenter,Compiler Design;Java Programming;DSA
317,Holly Rodriguez MD,DSA;Computer Networks;DBMS;Fundamentals EEE;Blockchain Technologies
318,Amy Brooks,Compiler Design;Advanced C;OOPS;OS
319,Thomas Davis,DSA;DBMS;Programming Paradigms;Java Programming;OS
320,Luis Foster,Programming Paradigms;Compiler Design;DBMS;Data Visualization;OOPS
321,Jay Bryant,Computer Networks
322,Joshua Graves,Blockchain Technologies;Cloud Computing
323,Vincent Owens,Microprocessors;Computer Networks;IOT
324,Kelli Martin,IOT;Programming Paradigms;Blockchain Technologies;Data Visualization;OS;Microprocessors
325,Melanie Hernandez,Discrete Maths;DBMS
326,Katie Velasquez,Cloud Computing;OS
327,Danielle Williams,Fundamentals EEE;Microprocessors;Blockchain Technologies;Programming Paradigms;Compiler Design;Java Programming;Cloud Computing
328,Rebecca Roman,OS
329,Michele Rubio DVM,Cloud Computing;DBMS
330,Kimberly Gordon,OS;Computer Networks
331,Carlos Nelson,Computer Networks;Data Visualization;Cloud Computing;OOPS
332,Angel Harper,DSA
333,Eugene Green,Advanced C;Computer Networks
334,John Edwards,Blockchain Technologies
335,Christopher Travis,Discrete Maths;OS;Blockchain Technologies;Java Programming
336,Karen Scott,Computer Networks
337,Carl Bowman,Java Programming;DSA;IOT;Compiler Design;Microprocessors;DBMS
338,Michael Martin,Data Visualization;Discrete Maths;DBMS;Java Programming
339,Gregory Ruiz,Blockchain Technologies;Java Programming;Discrete Maths
340,Kyle Ortiz,Java Programming;Data Visualization;Compiler Design;Fundamentals EEE
341,Lauren Edwards,Data Visualization;OOPS;Cloud Computing;Blockchain Technologies
342,Dr. Yolanda Zhang MD,Discrete Maths;Blockchain Technologies;Cloud Computing;OOPS;IOT;Fundamentals EEE;Programming Paradigms
343,Cheryl Miller,Programming Paradigms;Data Visualization;Microprocessors
344,Whitney Douglas,DBMS;Compiler Design;OS;Cloud Computing;Advanced C;Computer Networks
345,Denise Gray,Java Programming;Discrete Maths;Blockchain Technologies
346,Ashlee Mcguire,Programming Paradigms;OOPS;Computer Networks;Blockchain Technologies;Discrete Maths
347,Amanda Long,OOPS;Java Programming;Discrete Maths;Microprocessors;Compiler Design
348,Brendan Stevens,IOT;OS;DBMS
349,Michael Copeland,Advanced C;Computer Networks;Discrete Maths;Java Programming;Data Visualization;Microprocessors;OS
350,Daniel Wilson,IOT;Cloud Computing;OOPS;Discrete Maths;Programming Paradigms;Fundamentals EEE;Computer Networks
351,Brian Gomez,OOPS;DSA;Computer Networks;Programming Paradigms
352,Calvin Martinez,Advanced C;IOT;Compiler Design;Programming Paradigms;Microprocessors
353,Tony Bennett,Cloud Computing;OS;Programming Paradigms
354,Jessica Roberts,Fundamentals EEE;DBMS;Programming Paradigms
355,Glenda Bird,DSA;Cloud Computing;Fundamentals EEE;OOPS;Discrete Maths;Compiler Design;Java Programming
356,Thomas Washington,Discrete Maths;Java Programming;Cloud Computing;Data Visualization
357,Joseph Anderson,Data Visualization;Blockchain Technologies;Java Programming
358,Courtney Velez,Blockchain Technologies
359,Lori Hernandez,Discrete Maths;Java Programming;Programming Paradigms;Computer Networks;IOT
360,Joseph Coleman,Computer Networks;Blockchain Technologies;Programming Paradigms;OOPS;OS
361,Joshua Carrillo,Java Programming
362,Kristen Williams,Compiler Design;DSA;Data Visualization;Discrete Maths
363,Nicholas Anderson,Programming Paradigms;DBMS
364,Elizabeth Frazier,Data Visualization;Microprocessors
365,Rachel Smith,Discrete Maths;DBMS;Microprocessors
366,Bonnie Price,OOPS;DSA;Data Visualization;Discrete Maths
367,Jennifer Vasquez,Cloud Computing;OS;Discrete Maths;Fundamentals EEE;Blockchain Technologies;OOPS
368,David Perry,Programming Paradigms;DBMS;Data Visualization;OOPS;IOT
369,Mr. David Cuevas,OS;Advanced C;Compiler Design;DSA;DBMS;Computer Networks;Cloud Computing
370,John Miranda,Data Visualization;Discrete Maths;Java Programming
